grib_id,hrap_x,hrap_y
157457,517,141
157458,518,141
157459,519,141
157460,520,141
157461,521,141
157462,522,141
157463,523,141
157464,524,141
157465,525,141
157466,526,141
157467,527,141
157468,528,141
158577,516,142
158578,517,142
158579,518,142
158580,519,142
158581,520,142
158582,521,142
158583,522,142
158584,523,142
158585,524,142
158586,525,142
158587,526,142
158588,527,142
158589,528,142
158590,529,142
158591,530,142
158592,531,142
158593,532,142
158594,533,142
158595,534,142
158596,535,142
158597,536,142
158598,537,142
158599,538,142
158600,539,142
159698,516,143
159699,517,143
159700,518,143
159701,519,143
159702,520,143
159703,521,143
159704,522,143
159705,523,143
159706,524,143
159707,525,143
159708,526,143
159709,527,143
159710,528,143
159711,529,143
159712,530,143
159713,531,143
159714,532,143
159715,533,143
159716,534,143
159717,535,143
159718,536,143
159719,537,143
159720,538,143
159721,539,143
159722,540,143
159723,541,143
159724,542,143
159725,543,143
159726,544,143
159727,545,143
159728,546,143
159729,547,143
159730,548,143
159731,549,143
160819,516,144
160820,517,144
160821,518,144
160822,519,144
160823,520,144
160824,521,144
160825,522,144
160826,523,144
160827,524,144
160828,525,144
160829,526,144
160830,527,144
160831,528,144
160832,529,144
160833,530,144
160834,531,144
160835,532,144
160836,533,144
160837,534,144
160838,535,144
160839,536,144
160840,537,144
160841,538,144
160842,539,144
160843,540,144
160844,541,144
160845,542,144
160846,543,144
160847,544,144
160848,545,144
160849,546,144
160850,547,144
160851,548,144
160852,549,144
160853,550,144
160854,551,144
160855,552,144
160856,553,144
160857,554,144
160858,555,144
160859,556,144
160860,557,144
160861,558,144
160862,559,144
161940,516,145
161941,517,145
161942,518,145
161943,519,145
161944,520,145
161945,521,145
161946,522,145
161947,523,145
161948,524,145
161949,525,145
161950,526,145
161951,527,145
161952,528,145
161953,529,145
161954,530,145
161955,531,145
161956,532,145
161957,533,145
161958,534,145
161959,535,145
161960,536,145
161961,537,145
161962,538,145
161963,539,145
161964,540,145
161965,541,145
161966,542,145
161967,543,145
161968,544,145
161969,545,145
161970,546,145
161971,547,145
161972,548,145
161973,549,145
161974,550,145
161975,551,145
161976,552,145
161977,553,145
161978,554,145
161979,555,145
161980,556,145
161981,557,145
161982,558,145
161983,559,145
161984,560,145
161985,561,145
161986,562,145
161987,563,145
163061,516,146
163062,517,146
163063,518,146
163064,519,146
163065,520,146
163066,521,146
163067,522,146
163068,523,146
163069,524,146
163070,525,146
163071,526,146
163072,527,146
163073,528,146
163074,529,146
163075,530,146
163076,531,146
163077,532,146
163078,533,146
163079,534,146
163080,535,146
163081,536,146
163082,537,146
163083,538,146
163084,539,146
163085,540,146
163086,541,146
163087,542,146
163088,543,146
163089,544,146
163090,545,146
163091,546,146
163092,547,146
163093,548,146
163094,549,146
163095,550,146
163096,551,146
163097,552,146
163098,553,146
163099,554,146
163100,555,146
163101,556,146
163102,557,146
163103,558,146
163104,559,146
163105,560,146
163106,561,146
163107,562,146
163108,563,146
163109,564,146
164182,516,147
164183,517,147
164184,518,147
164185,519,147
164186,520,147
164187,521,147
164188,522,147
164189,523,147
164190,524,147
164191,525,147
164192,526,147
164193,527,147
164194,528,147
164195,529,147
164196,530,147
164197,531,147
164198,532,147
164199,533,147
164200,534,147
164201,535,147
164202,536,147
164203,537,147
164204,538,147
164205,539,147
164206,540,147
164207,541,147
164208,542,147
164209,543,147
164210,544,147
164211,545,147
164212,546,147
164213,547,147
164214,548,147
164215,549,147
164216,550,147
164217,551,147
164218,552,147
164219,553,147
164220,554,147
164221,555,147
164222,556,147
164223,557,147
164224,558,147
164225,559,147
164226,560,147
164227,561,147
164228,562,147
164229,563,147
164230,564,147
164231,565,147
164232,566,147
165303,516,148
165304,517,148
165305,518,148
165306,519,148
165307,520,148
165308,521,148
165309,522,148
165310,523,148
165311,524,148
165312,525,148
165313,526,148
165314,527,148
165315,528,148
165316,529,148
165317,530,148
165318,531,148
165319,532,148
165320,533,148
165321,534,148
165322,535,148
165323,536,148
165324,537,148
165325,538,148
165326,539,148
165327,540,148
165328,541,148
165329,542,148
165330,543,148
165331,544,148
165332,545,148
165333,546,148
165334,547,148
165335,548,148
165336,549,148
165337,550,148
165338,551,148
165339,552,148
165340,553,148
165341,554,148
165342,555,148
165343,556,148
165344,557,148
165345,558,148
165346,559,148
165347,560,148
165348,561,148
165349,562,148
165350,563,148
165351,564,148
165352,565,148
165353,566,148
165354,567,148
166424,516,149
166425,517,149
166426,518,149
166427,519,149
166428,520,149
166429,521,149
166430,522,149
166431,523,149
166432,524,149
166433,525,149
166434,526,149
166435,527,149
166436,528,149
166437,529,149
166438,530,149
166439,531,149
166440,532,149
166441,533,149
166442,534,149
166443,535,149
166444,536,149
166445,537,149
166446,538,149
166447,539,149
166448,540,149
166449,541,149
166450,542,149
166451,543,149
166452,544,149
166453,545,149
166454,546,149
166455,547,149
166456,548,149
166457,549,149
166458,550,149
166459,551,149
166460,552,149
166461,553,149
166462,554,149
166463,555,149
166464,556,149
166465,557,149
166466,558,149
166467,559,149
166468,560,149
166469,561,149
166470,562,149
166471,563,149
166472,564,149
166473,565,149
166474,566,149
166475,567,149
166476,568,149
167545,516,150
167546,517,150
167547,518,150
167548,519,150
167549,520,150
167550,521,150
167551,522,150
167552,523,150
167553,524,150
167554,525,150
167555,526,150
167556,527,150
167557,528,150
167558,529,150
167559,530,150
167560,531,150
167561,532,150
167562,533,150
167563,534,150
167564,535,150
167565,536,150
167566,537,150
167567,538,150
167568,539,150
167569,540,150
167570,541,150
167571,542,150
167572,543,150
167573,544,150
167574,545,150
167575,546,150
167576,547,150
167577,548,150
167578,549,150
167579,550,150
167580,551,150
167581,552,150
167582,553,150
167583,554,150
167584,555,150
167585,556,150
167586,557,150
167587,558,150
167588,559,150
167589,560,150
167590,561,150
167591,562,150
167592,563,150
167593,564,150
167594,565,150
167595,566,150
167596,567,150
167597,568,150
167598,569,150
168665,515,151
168666,516,151
168667,517,151
168668,518,151
168669,519,151
168670,520,151
168671,521,151
168672,522,151
168673,523,151
168674,524,151
168675,525,151
168676,526,151
168677,527,151
168678,528,151
168679,529,151
168680,530,151
168681,531,151
168682,532,151
168683,533,151
168684,534,151
168685,535,151
168686,536,151
168687,537,151
168688,538,151
168689,539,151
168690,540,151
168691,541,151
168692,542,151
168693,543,151
168694,544,151
168695,545,151
168696,546,151
168697,547,151
168698,548,151
168699,549,151
168700,550,151
168701,551,151
168702,552,151
168703,553,151
168704,554,151
168705,555,151
168706,556,151
168707,557,151
168708,558,151
168709,559,151
168710,560,151
168711,561,151
168712,562,151
168713,563,151
168714,564,151
168715,565,151
168716,566,151
168717,567,151
168718,568,151
168719,569,151
168720,570,151
169786,515,152
169787,516,152
169788,517,152
169789,518,152
169790,519,152
169791,520,152
169792,521,152
169793,522,152
169794,523,152
169795,524,152
169796,525,152
169797,526,152
169798,527,152
169799,528,152
169800,529,152
169801,530,152
169802,531,152
169803,532,152
169804,533,152
169805,534,152
169806,535,152
169807,536,152
169808,537,152
169809,538,152
169810,539,152
169811,540,152
169812,541,152
169813,542,152
169814,543,152
169815,544,152
169816,545,152
169817,546,152
169818,547,152
169819,548,152
169820,549,152
169821,550,152
169822,551,152
169823,552,152
169824,553,152
169825,554,152
169826,555,152
169827,556,152
169828,557,152
169829,558,152
169830,559,152
169831,560,152
169832,561,152
169833,562,152
169834,563,152
169835,564,152
169836,565,152
169837,566,152
169838,567,152
169839,568,152
169840,569,152
169841,570,152
169842,571,152
170907,515,153
170908,516,153
170909,517,153
170910,518,153
170911,519,153
170912,520,153
170913,521,153
170914,522,153
170915,523,153
170916,524,153
170917,525,153
170918,526,153
170919,527,153
170920,528,153
170921,529,153
170922,530,153
170923,531,153
170924,532,153
170925,533,153
170926,534,153
170927,535,153
170928,536,153
170929,537,153
170930,538,153
170931,539,153
170932,540,153
170933,541,153
170934,542,153
170935,543,153
170936,544,153
170937,545,153
170938,546,153
170939,547,153
170940,548,153
170941,549,153
170942,550,153
170943,551,153
170944,552,153
170945,553,153
170946,554,153
170947,555,153
170948,556,153
170949,557,153
170950,558,153
170951,559,153
170952,560,153
170953,561,153
170954,562,153
170955,563,153
170956,564,153
170957,565,153
170958,566,153
170959,567,153
170960,568,153
170961,569,153
170962,570,153
170963,571,153
172028,515,154
172029,516,154
172030,517,154
172031,518,154
172032,519,154
172033,520,154
172034,521,154
172035,522,154
172036,523,154
172037,524,154
172038,525,154
172039,526,154
172040,527,154
172041,528,154
172042,529,154
172043,530,154
172044,531,154
172045,532,154
172046,533,154
172047,534,154
172048,535,154
172049,536,154
172050,537,154
172051,538,154
172052,539,154
172053,540,154
172054,541,154
172055,542,154
172056,543,154
172057,544,154
172058,545,154
172059,546,154
172060,547,154
172061,548,154
172062,549,154
172063,550,154
172064,551,154
172065,552,154
172066,553,154
172067,554,154
172068,555,154
172069,556,154
172070,557,154
172071,558,154
172072,559,154
172073,560,154
172074,561,154
172075,562,154
172076,563,154
172077,564,154
172078,565,154
172079,566,154
172080,567,154
172081,568,154
172082,569,154
172083,570,154
172084,571,154
172085,572,154
