grib_id,hrap_x,hrap_y,center_lon,center_lat
52172,606,47,-97.4639,25.7644
52173,607,47,-97.4276,25.7601
52174,608,47,-97.3914,25.7557
52175,609,47,-97.3552,25.7513
53291,604,48,-97.5316,25.8056
53293,606,48,-97.4591,25.7970
53294,607,48,-97.4228,25.7927
53295,608,48,-97.3865,25.7884
53296,609,48,-97.3503,25.7840
53297,610,48,-97.3140,25.7796
54411,603,49,-97.5632,25.8426
54412,604,49,-97.5269,25.8383
54413,605,49,-97.4906,25.8340
54414,606,49,-97.4543,25.8297
54415,607,49,-97.4180,25.8254
54416,608,49,-97.3817,25.8210
54417,609,49,-97.3454,25.8166
54418,610,49,-97.3092,25.8122
55531,602,50,-97.5948,25.8795
55532,603,50,-97.5584,25.8753
55533,604,50,-97.5221,25.8710
55534,605,50,-97.4858,25.8667
55535,606,50,-97.4495,25.8624
55536,607,50,-97.4132,25.8580
55537,608,50,-97.3768,25.8537
55538,609,50,-97.3405,25.8493
55539,610,50,-97.3043,25.8449
55540,611,50,-97.2680,25.8405
56633,583,51,-98.2820,25.9893
56634,584,51,-98.2455,25.9855
56635,585,51,-98.2090,25.9816
56636,586,51,-98.1726,25.9777
56637,587,51,-98.1361,25.9737
56652,602,51,-97.5900,25.9122
56653,603,51,-97.5537,25.9080
56654,604,51,-97.5173,25.9037
56655,605,51,-97.4810,25.8994
56656,606,51,-97.4446,25.8951
56657,607,51,-97.4083,25.8907
56658,608,51,-97.3720,25.8863
56659,609,51,-97.3357,25.8820
56660,610,51,-97.2993,25.8776
56661,611,51,-97.2630,25.8731
56662,612,51,-97.2267,25.8687
56663,613,51,-97.1904,25.8642
56664,614,51,-97.1541,25.8597
57752,581,52,-98.3507,26.0298
57753,582,52,-98.3142,26.0260
57754,583,52,-98.2777,26.0221
57755,584,52,-98.2412,26.0182
57756,585,52,-98.2047,26.0144
57757,586,52,-98.1682,26.0104
57758,587,52,-98.1317,26.0065
57759,588,52,-98.0953,26.0025
57772,601,52,-97.6217,25.9492
57773,602,52,-97.5853,25.9449
57774,603,52,-97.5489,25.9407
57775,604,52,-97.5126,25.9364
57776,605,52,-97.4762,25.9321
57777,606,52,-97.4398,25.9278
57778,607,52,-97.4035,25.9234
57779,608,52,-97.3671,25.9190
57780,609,52,-97.3308,25.9146
57781,610,52,-97.2944,25.9102
57782,611,52,-97.2581,25.9058
57783,612,52,-97.2218,25.9013
57784,613,52,-97.1855,25.8969
57785,614,52,-97.1491,25.8924
57786,615,52,-97.1128,25.8879
58871,579,53,-98.4195,26.0702
58872,580,53,-98.3829,26.0664
58873,581,53,-98.3464,26.0626
58874,582,53,-98.3099,26.0588
58875,583,53,-98.2734,26.0549
58876,584,53,-98.2369,26.0510
58877,585,53,-98.2003,26.0471
58878,586,53,-98.1638,26.0432
58879,587,53,-98.1273,26.0393
58880,588,53,-98.0909,26.0353
58881,589,53,-98.0544,26.0313
58882,590,53,-98.0179,26.0273
58884,592,53,-97.9449,26.0193
58885,593,53,-97.9085,26.0152
58888,596,53,-97.7991,26.0029
58889,597,53,-97.7627,25.9987
58890,598,53,-97.7263,25.9946
58891,599,53,-97.6898,25.9904
58892,600,53,-97.6534,25.9862
58893,601,53,-97.6170,25.9819
58894,602,53,-97.5806,25.9777
58895,603,53,-97.5442,25.9734
58896,604,53,-97.5078,25.9691
58897,605,53,-97.4714,25.9648
58898,606,53,-97.4350,25.9605
58899,607,53,-97.3986,25.9561
58900,608,53,-97.3622,25.9517
58901,609,53,-97.3259,25.9473
58902,610,53,-97.2895,25.9429
58903,611,53,-97.2532,25.9385
58904,612,53,-97.2168,25.9340
58905,613,53,-97.1805,25.9295
58906,614,53,-97.1441,25.9250
58907,615,53,-97.1078,25.9205
